"","X","acousticness","artists","danceability","duration","energy","id","instrumentalness","key","liveness","loudness","mode","names","popularity","preview_url","speechiness","tempo","time_signature","valence","cluster","pc1","pc2","membership.1","membership.2","membership.3","membership.4","membership.5","membership.6","membership.7"
"864",863,0.589,"Bruce Springsteen",0.62,155880,0.446,"3PzsbWSQdLCKDLxn7YZfkM",0.0299,1,0.0727,-14.451,0,"I'm on Fire",65,"https://p.scdn.co/mp3-preview/a5e4f382572771ba6a5cf1c050a3488d1a850cfb?cid=4a1a457d14c0445a96e7021a5523905b",0.0347,88.591,4,0.867,2,0.308469167546184,0.68466228006863,0.0265965680677699,0.190347642801756,0.190347622252592,0.0216652699116913,0.190347642769789,0.190347622255557,0.190347631940845
"865",864,8.08e-06,"Palma Violets",0.246,212755,0.876,"3pZZrFZEN1pcOUiPGDqcjd",0.882,0,0.0634,-3.942,1,"Best Of Friends",38,"https://p.scdn.co/mp3-preview/b7a149693226e1d4dd3a9c85ca8ee99ee223f8b7?cid=4a1a457d14c0445a96e7021a5523905b",0.0512,129.223,4,0.304,2,0.401209226961606,-2.382239214738,0.0582202624882674,0.184665593917899,0.184665590654416,0.0184517761686863,0.184665593912907,0.18466559065477,0.184665592203056
"866",865,0.0244,"Sumthin Sumthin",0.795,171429,0.669,"3Q1e3lOTWnEu1Q696AIDQb",0.404,6,0.636,-7.636,0,"Dawn",39,"https://p.scdn.co/mp3-preview/b705dbd2116d1478aef5741cef72f5def55dad73?cid=4a1a457d14c0445a96e7021a5523905b",0.2,140.033,3,0.7,2,1.6071766908432,1.0284496122143,0.0113585913492422,0.192335007756131,0.192334982251999,0.0269664344173401,0.192335007716351,0.192334982255706,0.192334994253229
"868",867,0.632,"Dick Ringler",0.634,134093,0.291,"3Q1vQTquNed8hdiSkdVcPu",0,10,0.223,-23.542,0,"Beowulf's Victory",5,"https://p.scdn.co/mp3-preview/f0df7651aee7ecedb5ac46dcc191203e3db7d736?cid=4a1a457d14c0445a96e7021a5523905b",0.829,56.345,5,0.64,4,-2.26375183660423,4.19809152177741,0.0207351347415313,0.0226513366087801,0.0226513380406906,0.866008178589893,0.0226513366110176,0.0226513380404627,0.022651337367625
"869",868,0.00175,"Valkeat",0.355,302017,0.928,"3Q2av1k8djYw1s7Puzt7Uz",1.09e-05,11,0.111,-7.231,0,"Tulirinta",30,"https://p.scdn.co/mp3-preview/bab3e37c4e9cd1d95bfc44c8b43ee485104df6ac?cid=4a1a457d14c0445a96e7021a5523905b",0.082,169.988,4,0.38,2,1.12861669562041,-1.35786537122621,0.0162471110916877,0.193717676445248,0.193717664473339,0.0151645369660909,0.193717676426841,0.193717664475056,0.193717670121738
"871",870,0.554,"Trip Lee",0.52,308275,0.622,"3Q2hvDrSBaRP3ihAnJEXSI",0,6,0.0996,-7.195,0,"Sweet Victory",50,"https://p.scdn.co/mp3-preview/4e2a4fa43fa4f3cd10b405e3b9098b7dd80258cd?cid=4a1a457d14c0445a96e7021a5523905b",0.0919,147.205,4,0.316,2,0.247617696175228,-0.896132633159776,0.00932741053644493,0.197004137076929,0.19700413113078,0.00565191908051832,0.197004137068083,0.197004131131341,0.197004133975903
"872",871,0.0101,"Felix Cartal",0.856,290613,0.863,"3Q57on1WursmDrBsbnHqjz",0,11,0.0896,-4.403,0,"Something To Live For - signal:noize Remix",25,"https://p.scdn.co/mp3-preview/909a06ef7f3d311a2adb7583467446ffd47ca656?cid=4a1a457d14c0445a96e7021a5523905b",0.298,126.013,4,0.727,2,1.89285777670493,1.38426775382618,0.00794573581149183,0.19254483389275,0.192544794254268,0.0293301950417721,0.192544833831275,0.192544794260187,0.192544812908257
"874",873,0.000301,"Owl Eyes",0.499,229180,0.774,"3Q6E7n96VmqNGAuAKO9For",0.0258,0,0.165,-3.754,0,"Closure",38,"https://p.scdn.co/mp3-preview/1845eb5576510596a3fce6c0b784d4937eff4aa4?cid=4a1a457d14c0445a96e7021a5523905b",0.0314,121.946,4,0.408,2,1.38812805580462,-0.716450296703924,0.00358073712645055,0.198656775564749,0.1986567127054,0.00313554410613206,0.198656775467589,0.198656712714458,0.19865674231522
"875",874,0.465,"Amason",0.832,184560,0.521,"3q6gvYPqqVa1RNE4D1qun0",0.0108,0,0.0813,-11.046,1,"Went to War",42,"https://p.scdn.co/mp3-preview/2cb3f144ad33d80ce5435cc820858d553e5572a9?cid=4a1a457d14c0445a96e7021a5523905b",0.03,124.875,4,0.728,2,0.868378436897703,0.916270622368362,0.00877943058672556,0.195789266590931,0.195789230937203,0.0122743266688964,0.195789266535677,0.195789230942324,0.195789247738243
"876",875,0.99,"Franz Joseph Haydn",0.348,230227,0.00185,"3QAy6Mog08zbI2puUi6PE5",0.961,2,0.0982,-33.139,0,"Sonata in D Major, Hob. XVI:37: II. Largo e sostenuto",14,"https://p.scdn.co/mp3-preview/bf94076e92b6118793188d0a94154856d2c3b173?cid=4a1a457d14c0445a96e7021a5523905b",0.0635,69.611,3,0.304,1,-4.92048046194858,-0.123446600820621,0.830228918374784,0.0242643229835144,0.0242643264605942,0.0484494579059259,0.0242643229889112,0.0242643264600459,0.0242643248262236
"877",876,0.0709,"Mike Perry",0.561,204504,0.8,"3qaYuV5XZAwiOvGE91HhwS",0.000133,8,0.0934,-4.576,1,"Inside the Lines",64,"https://p.scdn.co/mp3-preview/56ff2bf57d8f609baf57408e588313a4c061a9da?cid=4a1a457d14c0445a96e7021a5523905b",0.0324,96.989,4,0.384,2,1.52073689798248,-0.676641523329797,0.00428144876023392,0.198415712070492,0.198415642186019,0.00364016773637059,0.198415711961823,0.198415642196707,0.198415675088354
"878",877,0.136,"The Beatles",0.488,199960,0.539,"3QbhVaulXxTyuAxHY3Pa5N",0,9,0.0538,-8.752,1,"You Won't See Me - Remastered 2009",46,"https://p.scdn.co/mp3-preview/11a27250c2279a8a2a7e67b8dad6b8c56da98579?cid=4a1a457d14c0445a96e7021a5523905b",0.0304,115.941,4,0.462,2,0.57056277908259,-0.442363371045526,0.00549970283996546,0.198086603447374,0.198086566101662,0.0040673743978604,0.198086603389816,0.198086566106905,0.198086583716417
"879",878,0.932,"Alessandro Scarlatti",0.759,48013,0.119,"3QCitdybXxsJXl9bye7gxk",0.866,11,0.104,-24.501,1,"Sinfonia avanti la Serenata: III. Minuet",3,"https://p.scdn.co/mp3-preview/b35d5376c83df0411eccfb4202eaa75f4fc2041c?cid=4a1a457d14c0445a96e7021a5523905b",0.0518,130.817,3,0.847,1,-2.27122389281957,1.76762761417914,0.189952379690428,0.125640660864134,0.125640671962004,0.18184428789787,0.125640660881479,0.1256406719604,0.125640666743685
"880",879,0.951,"Libby Larsen",0.13,496900,0.0201,"3qDrsjPIHguiFH52vRjM6w",0.534,1,0.089,-27.506,1,"Viola Sonata: II. Drift",11,"https://p.scdn.co/mp3-preview/7e6296b2df2b997566d0c88bcfaddbfe2509e921?cid=4a1a457d14c0445a96e7021a5523905b",0.048,77.357,3,0.034,1,-5.14540304051922,-1.50972621759255,0.820614195367083,0.0270790707177503,0.0270790747067918,0.0439904409466793,0.0270790707240161,0.0270790747062075,0.0270790728314722
"881",880,0.2,"LeAnn Rimes",0.384,205533,0.614,"3qDrUwFpyRN4MrKSiaRAbk",0,3,0.239,-7.153,1,"Put A Little Holiday In Your Heart",23,"https://p.scdn.co/mp3-preview/9a389406fdddf6449d4626fe318177c0b4c5150d?cid=4a1a457d14c0445a96e7021a5523905b",0.0391,156.23,4,0.719,2,0.912001844809755,-0.233870890273176,0.00767222070757876,0.196818731293525,0.196818709951714,0.00823417681343834,0.196818731260705,0.196818709954882,0.196818720018156
